Subject,Semester,Title,Issued On,Last Date,Status
CST444 - SOFT COMPUTING,VIIIth Semester,Assignment 3,18th Mar '25 01:39 AM,24th Mar '25 11:00 AM,NOT SUBMITTED
CST402 - DISTRIBUTED COMPUTING,VIIIth Semester,Assignment 3,12th Mar '25 09:57 AM,17th Mar '25 12:00 AM,NOT SUBMITTED
CST466 - DATA MINING,VIIIth Semester,Assignment 3,4th Mar '25 11:04 AM,10th Mar '25 12:00 AM,NOT SUBMITTED
CST448 - INTERNET OF THINGS,VIIIth Semester,Assignment 3,28th Feb '25 08:41 PM,25th Mar '25 12:00 AM,NOT SUBMITTED
CST402 - DISTRIBUTED COMPUTING,VIIIth Semester,Assignment 2,18th Feb '25 11:53 AM,24th Feb '25 12:00 AM,NOT SUBMITTED
CST444 - SOFT COMPUTING,VIIIth Semester,Assignment 2,12th Feb '25 09:23 AM,18th Feb '25 09:59 AM,NOT SUBMITTED
CST448 - INTERNET OF THINGS,VIIIth Semester,Assignment 2,7th Feb '25 06:03 AM,3rd Mar '25 12:00 AM,NOT SUBMITTED
CST466 - DATA MINING,VIIIth Semester,Assignment 2,2nd Feb '25 10:05 PM,24th Feb '25 12:00 AM,NOT SUBMITTED
CST448 - INTERNET OF THINGS,VIIIth Semester,Assignment 1,20th Jan '25 06:01 AM,7th Feb '25 12:00 AM,NOT SUBMITTED
CST402 - DISTRIBUTED COMPUTING,VIIIth Semester,Assignment 1,8th Jan '25 01:26 PM,20th Jan '25 12:00 AM,NOT SUBMITTED
